rule_id,target_field,rule_name,match_scope,match_type,pattern,account_type,dr_cr,bank,amount_gt,priority,enabled
CL076,is_car_loan,Dealer Motor Finance,text_or_counterparty,regex,dealermotorfinance,*,*,*,,90,1
CL077,is_car_loan,FleetPartners Group,text_or_counterparty,regex,fleetpartnersgroup,*,*,*,,90,1
CL078,is_car_loan,Honda Financial Services,text_or_counterparty,regex,hondafinancialservices,*,*,*,,90,1
CL079,is_car_loan,Hyundai Finance,text_or_counterparty,regex,hyundaifinance,*,*,*,,90,1
CL080,is_car_loan,Kia Finance,text_or_counterparty,regex,kiafinance,*,*,*,,90,1
CL081,is_car_loan,Last Chance Car Finance,text_or_counterparty,regex,lastchancecarfinance,*,*,*,,90,1
CL082,is_car_loan,Miracle Car Finance,text_or_counterparty,regex,miraclecarfinance,*,*,*,,90,1
CL083,is_car_loan,Mitsubishi Motors Financial Services,text_or_counterparty,regex,mitsubishimotorsfinancialservices,*,*,*,,90,1
CL084,is_car_loan,Motor Finance Australia,text_or_counterparty,regex,motorfinanceaustralia,*,*,*,,90,1
CL085,is_car_loan,Motor Finance Wizard,text_or_counterparty,regex,motorfinancewizard,*,*,*,,90,1
CL086,is_car_loan,National Motor Loans,text_or_counterparty,regex,nationalmotorloans,*,*,*,,90,1
CL087,is_car_loan,PACCAR Financial,text_or_counterparty,regex,paccarfinancial,*,*,*,,90,1
CL088,is_car_loan,RideLend,text_or_counterparty,regex,ridelend,*,*,*,,90,1
CL089,is_car_loan,Scania Finance,text_or_counterparty,regex,scaniafinance,*,*,*,,90,1
CL090,is_car_loan,SG Fleet Group,text_or_counterparty,regex,sgfleetgroup,*,*,*,,90,1
CL091,is_car_loan,Summit Fleet,text_or_counterparty,regex,summitfleet,*,*,*,,90,1
CL092,is_car_loan,Toyota Fleet Management,text_or_counterparty,regex,toyotafleetmanagement,*,*,*,,90,1
CL093,is_car_loan,Vehicle Finance Australia,text_or_counterparty,regex,vehiclefinanceaustralia,*,*,*,,90,1
CL094,is_car_loan,Volvo Car Financial Services,text_or_counterparty,regex,volvocarfinancialservices,*,*,*,,90,1
