rule_name,category,pattern,match_type,confidence,counterparty,source
AUSTRALIAN RETAIL LEASE MANAGEMENT PTY. LIMITED,Rent,AUSTRALIAN RETAIL LEASE MANAGEMENT PTY LIMITED|RETAIL LEASE COACH,keyword,0.95,AUSTRALIAN RETAIL LEASE MANAGEMENT PTY. LIMITED,institution
KILLMORE & SONS PTY. LTD.,Rent,KILLMORE SONS PTY LTD,keyword,0.95,KILLMORE & SONS PTY. LTD.,institution
GREATER GEELONG REALTY (SOUTH BARWON) PTY LTD,Rent,GREATER GEELONG REALTY SOUTH BARWON PTY LTD|BARRY PLANT GREATER GEELONG PROPERTY MANAGEMENT|BARRY PLANT GREATER GEELONG RENTALS,keyword,0.95,GREATER GEELONG REALTY (SOUTH BARWON) PTY LTD,institution
MALONGA FLATS PTY. LIMITED,Rent,MALONGA FLATS PTY LIMITED,keyword,0.95,MALONGA FLATS PTY. LIMITED,institution
HAMILTON TOWERS PROPRIETARY LIMITED,Rent,HAMILTON TOWERS PROPRIETARY LIMITED,keyword,0.95,HAMILTON TOWERS PROPRIETARY LIMITED,institution
LOCKSLEY CLOSE PROPRIETARY LIMITED,Rent,LOCKSLEY CLOSE PROPRIETARY LIMITED,keyword,0.95,LOCKSLEY CLOSE PROPRIETARY LIMITED,institution
DRIFTWOOD COURT PTY. LTD.,Rent,DRIFTWOOD COURT PTY LTD,keyword,0.95,DRIFTWOOD COURT PTY. LTD.,institution
WARATAH PROPERTIES PTY. LTD.,Rent,WARATAH PROPERTIES PTY LTD,keyword,0.95,WARATAH PROPERTIES PTY. LTD.,institution
RVG VICTORIA REAL ESTATE PTY LTD,Rent,RVG VICTORIA REAL ESTATE PTY LTD|ZIG INGE REAL ESTATE PTY LTD,keyword,0.95,RVG VICTORIA REAL ESTATE PTY LTD,institution
KAGAN BROS. STORAGE PTY. LIMITED,Rent,KAGAN BROS STORAGE PTY LIMITED,keyword,0.95,KAGAN BROS. STORAGE PTY. LIMITED,institution
AVALON PARK NOMINEES PTY. LTD.,Rent,AVALON PARK NOMINEES PTY LTD,keyword,0.95,AVALON PARK NOMINEES PTY. LTD.,institution
GARRICK F. LETTEY ESTATES PTY. LTD.,Rent,GARRICK F LETTEY ESTATES PTY LTD,keyword,0.95,GARRICK F. LETTEY ESTATES PTY. LTD.,institution
MELBOURNE SQUARE PTY. LTD.,Rent,MELBOURNE SQUARE PTY LTD,keyword,0.95,MELBOURNE SQUARE PTY. LTD.,institution
CALISTA PROPERTY GROUP PTY LTD,Rent,CALISTA PROPERTY GROUP PTY LTD,keyword,0.95,CALISTA PROPERTY GROUP PTY LTD,institution
DUNGEY & CARTER PTY. LTD.,Rent,DUNGEY CARTER PTY LTD,keyword,0.95,DUNGEY & CARTER PTY. LTD.,institution
STORVEST PTY. LTD.,Rent,STORVEST PTY LTD,keyword,0.95,STORVEST PTY. LTD.,institution
ABCRE PTY. LTD.,Rent,ABCRE PTY LTD,keyword,0.95,ABCRE PTY. LTD.,institution
KYABRAM COLD STORAGE PTY. LTD.,Rent,KYABRAM COLD STORAGE PTY LTD,keyword,0.95,KYABRAM COLD STORAGE PTY. LTD.,institution
G. E. M. MANAGEMENT PTY. LTD.,Rent,G E M MANAGEMENT PTY LTD,keyword,0.95,G. E. M. MANAGEMENT PTY. LTD.,institution
RJB MANAGEMENT PTY. LTD.,Rent,RJB MANAGEMENT PTY LTD,keyword,0.95,RJB MANAGEMENT PTY. LTD.,institution
SIXTH GEMTEEL PTY. LTD.,Rent,SIXTH GEMTEEL PTY LTD,keyword,0.95,SIXTH GEMTEEL PTY. LTD.,institution
