rule_name,category,pattern,match_type,confidence,counterparty,source
Australian Turf Club,Gambling,AUSTRALIAN TURF CLUB CANTERBURY|AUSTRALIAN TURF CLUB|AUSTRALIAN TURF|AUSTRALIAN TURF CLUB L CANTERBURY|AUSTRALIAN TURF CLUB L RANDWICK|AUSTRALIAN TURF CLUB L|AUSTRALIAN TURF CLUB L ROSEHILL|AUSTRALIAN TURF CLUB LIMI CANTERB|AUSTRALIAN TURF CLUB LIMI RANDWIC|AUSTRALIAN TURF CLUB LIMI ROSEHIL|AUSTRALIAN TURF CLUB LRANDWIC|AUSTRALIAN TURF CLUB LTD CANTERBU|AUSTRALIAN TURF CLUB LTD ROSEHILL|AUSTRALIAN TURF CLUB ROSEHILL|AUSTRALIAN TURF CLUB WARWICK FARM,keyword,0.95,Australian Turf Club,institution
Waverley Gardens Lotto,Gambling,WAVERLEY GARDENS LOTTO|WAVERLEY GARDENS LOTTO MULGRAVE|WAVERLEY GARDENS LOTTO MULGRAVE VI,keyword,0.95,Waverley Gardens Lotto,institution
Cranbourne Turf Club,Gambling,CRANBOURNE TURF CLUB CRANBOURNE|CRANBOURNE TURF CLUB|CRANBOURNE TURF CLU|CRANBOURNE TURF|CRANBOURNE TURF CLUB CRANBOURNE VI|CRANBOURNE TURF CLUB FLEMINGTON|CRANBOURNE TURF CLUB INC,keyword,0.95,Cranbourne Turf Club,institution
Vic Market Newsagency & Lotto,Gambling,VIC MARKET NEWSAGENCY LOTTO|VIC MARKET TATTSLOTTO,keyword,0.95,Vic Market Newsagency & Lotto,institution
Melbourne Racing Club,Gambling,MELBOURNE RACING CLU|MELBOURNE RACING CLUB|MELBOURNE RACING CLU CAULFIELD EA|MELBOURNE RACING CLU CAULFIELD EAS|MELBOURNE RACING CLU CAULFIELD EAS VI|MELBOURNE RACING CLU SPRINGVALE VI|MELBOURNE RACING CLUB CAULFIELD|MELBOURNE RACING|MELBOURNE RACING CLUB CAULFIELD EAS|MELBOURNE RACING CLUB CAULFIELD EAS VI|MELBOURNE RACING CLUB CAULFIELD VI,keyword,0.95,Melbourne Racing Club,institution
Victoria Racing Club,Gambling,VICTORIA RACING CLUB|VICTORIA RACING CLUB LTD|VICTORIA RACING CLUB FLEMINGTON|VICTORIA RACING|VICTORIA RACING CLUB FLEMINGTON VI|VICTORIA RACING CLUB L|VICTORIA RACING CLUB L FLEMINGTON|VICTORIA RACING CLUB L FLEMINGTON VI,keyword,0.95,Victoria Racing Club,institution
Warrnambool Racing Club,Gambling,WARRNAMBOOL RACING C|WARRNAMBOOL RACING CLUB,keyword,0.95,Warrnambool Racing Club,institution
Ladbrokes Australia,Gambling,LADBROKES AUSTRALIA,keyword,0.95,Ladbrokes Australia,institution
LADBROKES COM,Gambling,LADBROKES COM|LADBROKES HILLS|LADBROKES COM AU,keyword,0.95,LADBROKES COM,institution
Neds,Gambling,NEDS COM AU|NEDS,keyword,0.95,Neds,institution
